PROLIFIC_PID,AwarenessType,Question,Answer,awarenext.corr,QuizAccuracy,awarenext.keys,awarenext.rt,Awareness.thisRepN,Awareness.thisTrialN,Awareness.thisN,Awareness.thisIndex,Awareness.ran,GuessResp.keys,GuessResp.rt,Option1,Option2,Option3,Stim1,Stim2,SSAwareness,S2RAwareness,S2RAwarenessyn,S1Awarenessyn,S1Awareness,S1TransferAwareness
60dbd1a6bb3d411213cef6bc,S1-R Contingency,Which colour almost always occurred with the word `Ron`?,l,1,NA,l,3.514,0,9,9,9,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,NA,NA,NA,1,NA
60dbd1a6bb3d411213cef6bc,S2-R Contingency-yn,Do you think `calm` mostly appeared in a particular colour?,j,0,NA,n,9.921,0,10,10,10,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,0,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S2-R Contingency,Which colour almost always occurred with the word `calm`?,l,0,NA,d,1.965,0,11,11,11,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,0,NA,NA,NA,NA
60dbd1a6bb3d411213cef6bc,S1-R Transfer Awareness,Which colour do you think `Max` should have appeared in?,d,1,NA,d,5.039,0,12,12,12,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,NA,NA,NA,NA,1
60dbd1a6bb3d411213cef6bc,S1-R Transfer Awareness,Which colour do you think `Tim` should have appeared in?,l,1,NA,l,1.977,0,13,13,13,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,NA,NA,NA,NA,1
5ff792bdc0091e494e352e9b,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4.752,Don't Know,fair,neat,Max,neat,1,NA,NA,NA,NA,NA
5ff792bdc0091e494e352e9b,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3.0949,Don't Know,calm,bold,Jack,bold,1,NA,NA,NA,NA,NA
5ff792bdc0091e494e352e9b,S-S Cued Recall,What word should have appeared?,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1.8634,Don't Know,fair,bold,Tim,fair,1,NA,NA,NA,NA,NA
5ff792bdc0091e494e352e9b,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2.1073,Don't Know,bold,calm,Ron,calm,1,NA,NA,NA,NA,NA
5ff792bdc0091e494e352e9b,S2-R Contingency-yn,Do you think `bold` mostly appeared in a particular colour?,j,0,NA,k,5.3656,0,0,0,0,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,0,NA,NA,NA
5ff792bdc0091e494e352e9b,S2-R Contingency,Which colour almost always occurred with the word `bold`?,d,0,NA,k,5.5293,0,1,1,1,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,0,NA,NA,NA,NA
5ff792bdc0091e494e352e9b,S2-R Contingency-yn,Do you think `fair` mostly appeared in a particular colour?,j,1,NA,j,5.1684,0,2,2,2,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Tim,fair,NA,NA,1,NA,NA,NA
5ff792bdc0091e494e352e9b,S2-R Contingency,Which colour almost always occurred with the word `fair`?,l,1,NA,l,2.3657,0,3,3,3,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,1,NA,NA,NA,NA
5ff792bdc0091e494e352e9b,S1-R Contingency-yn,Do you think `Jack` mostly appeared in a particular colour?,j,1,NA,j,4.6396,0,4,4,4,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,NA,1,NA,NA
5ff792bdc0091e494e352e9b,S1-R Contingency,Which colour almost always occurred with the word `Jack`?,d,1,NA,d,1.1518,0,5,5,5,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,NA,NA,NA,1,NA
5ff792bdc0091e494e352e9b,S2-R Contingency-yn,Do you think `neat` mostly appeared in a particular colour?,j,0,NA,k,2.8757,0,6,6,6,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Max,neat,NA,NA,0,NA,NA,NA
5ff792bdc0091e494e352e9b,S2-R Contingency,Which colour almost always occurred with the word `neat`?,d,0,NA,l,6.473,0,7,7,7,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,0,NA,NA,NA,NA
5ff792bdc0091e494e352e9b,S1-R Contingency-yn,Do you think `Ron` mostly appeared in a particular colour?,j,0,NA,k,4.1588,0,8,8,8,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,NA,0,NA,NA
5ff792bdc0091e494e352e9b,S1-R Contingency,Which colour almost always occurred with the word `Ron`?,l,1,NA,l,7.5297,0,9,9,9,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,NA,NA,NA,1,NA
5ff792bdc0091e494e352e9b,S2-R Contingency-yn,Do you think `calm` mostly appeared in a particular colour?,j,1,NA,j,3.4246,0,10,10,10,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,1,NA,NA,NA
5ff792bdc0091e494e352e9b,S2-R Contingency,Which colour almost always occurred with the word `calm`?,l,0,NA,d,2.6753,0,11,11,11,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,0,NA,NA,NA,NA
5ff792bdc0091e494e352e9b,S1-R Transfer Awareness,Which colour do you think `Max` should have appeared in?,d,1,NA,d,7.2305,0,12,12,12,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,NA,NA,NA,NA,1
5ff792bdc0091e494e352e9b,S1-R Transfer Awareness,Which colour do you think `Tim` should have appeared in?,l,1,NA,l,4.1479,0,13,13,13,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,NA,NA,NA,NA,1
629552d66a0ad893867fa675,S-S Cued Recall,What word should have appeared?,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,12.5761,Don't Know,bold,fair,Jack,bold,1,NA,NA,NA,NA,NA
629552d66a0ad893867fa675,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5952,Don't Know,neat,fair,Tim,fair,1,NA,NA,NA,NA,NA
629552d66a0ad893867fa675,S-S Cued Recall,What word should have appeared?,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1.323,neat,calm,Don't Know,Ron,calm,1,NA,NA,NA,NA,NA
629552d66a0ad893867fa675,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,7.5843,Don't Know,calm,neat,Max,neat,1,NA,NA,NA,NA,NA
629552d66a0ad893867fa675,S2-R Contingency-yn,Do you think `bold` mostly appeared in a particular colour?,j,1,NA,j,10.6901,0,0,0,0,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,1,NA,NA,NA
629552d66a0ad893867fa675,S2-R Contingency,Which colour almost always occurred with the word `bold`?,d,1,NA,d,1.4219,0,1,1,1,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,1,NA,NA,NA,NA
629552d66a0ad893867fa675,S2-R Contingency-yn,Do you think `fair` mostly appeared in a particular colour?,j,1,NA,j,3.1453,0,2,2,2,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Tim,fair,NA,NA,1,NA,NA,NA
629552d66a0ad893867fa675,S2-R Contingency,Which colour almost always occurred with the word `fair`?,l,1,NA,l,1.5094,0,3,3,3,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,1,NA,NA,NA,NA
629552d66a0ad893867fa675,S1-R Contingency-yn,Do you think `Jack` mostly appeared in a particular colour?,j,1,NA,j,4.3095,0,4,4,4,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,NA,1,NA,NA
629552d66a0ad893867fa675,S1-R Contingency,Which colour almost always occurred with the word `Jack`?,d,0,NA,l,3.6837,0,5,5,5,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,NA,NA,NA,0,NA
629552d66a0ad893867fa675,S2-R Contingency-yn,Do you think `neat` mostly appeared in a particular colour?,j,1,NA,j,3.865,0,6,6,6,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Max,neat,NA,NA,1,NA,NA,NA
629552d66a0ad893867fa675,S2-R Contingency,Which colour almost always occurred with the word `neat`?,d,0,NA,l,1.7045,0,7,7,7,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,0,NA,NA,NA,NA
629552d66a0ad893867fa675,S1-R Contingency-yn,Do you think `Ron` mostly appeared in a particular colour?,j,1,NA,j,5.6209,0,8,8,8,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,NA,1,NA,NA
629552d66a0ad893867fa675,S1-R Contingency,Which colour almost always occurred with the word `Ron`?,l,1,NA,l,1.534,0,9,9,9,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,NA,NA,NA,1,NA
629552d66a0ad893867fa675,S2-R Contingency-yn,Do you think `calm` mostly appeared in a particular colour?,j,1,NA,j,3.9436,0,10,10,10,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,1,NA,NA,NA
629552d66a0ad893867fa675,S2-R Contingency,Which colour almost always occurred with the word `calm`?,l,0,NA,d,1.0715,0,11,11,11,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,0,NA,NA,NA,NA
629552d66a0ad893867fa675,S1-R Transfer Awareness,Which colour do you think `Max` should have appeared in?,d,1,NA,d,7.0384,0,12,12,12,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,NA,NA,NA,NA,1
629552d66a0ad893867fa675,S1-R Transfer Awareness,Which colour do you think `Tim` should have appeared in?,l,1,NA,l,3.0504,0,13,13,13,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,NA,NA,NA,NA,1
6108ac1e801e23ad2a25e7f0,S-S Cued Recall,What word should have appeared?,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,4.3452,Don't Know,neat,calm,Max,neat,0,NA,NA,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1.1811,calm,Don't Know,bold,Jack,bold,1,NA,NA,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S-S Cued Recall,What word should have appeared?,3,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1.5764,Don't Know,neat,calm,Ron,calm,0,NA,NA,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S-S Cued Recall,What word should have appeared?,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2.0679,Don't Know,fair,neat,Tim,fair,1,NA,NA,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S2-R Contingency-yn,Do you think `bold` mostly appeared in a particular colour?,j,0,NA,k,3.4509,0,0,0,0,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,0,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S2-R Contingency,Which colour almost always occurred with the word `bold`?,d,1,NA,d,2.0023,0,1,1,1,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,1,NA,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S2-R Contingency-yn,Do you think `fair` mostly appeared in a particular colour?,j,1,NA,j,3.6555,0,2,2,2,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Tim,fair,NA,NA,1,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S2-R Contingency,Which colour almost always occurred with the word `fair`?,l,1,NA,l,1.8682,0,3,3,3,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,1,NA,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S1-R Contingency-yn,Do you think `Jack` mostly appeared in a particular colour?,j,0,NA,k,2.2687,0,4,4,4,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,NA,0,NA,NA
6108ac1e801e23ad2a25e7f0,S1-R Contingency,Which colour almost always occurred with the word `Jack`?,d,0,NA,k,1.501,0,5,5,5,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,NA,NA,NA,0,NA
6108ac1e801e23ad2a25e7f0,S2-R Contingency-yn,Do you think `neat` mostly appeared in a particular colour?,j,0,NA,n,3.3096,0,6,6,6,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Max,neat,NA,NA,0,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S2-R Contingency,Which colour almost always occurred with the word `neat`?,d,0,NA,k,1.5508,0,7,7,7,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,0,NA,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S1-R Contingency-yn,Do you think `Ron` mostly appeared in a particular colour?,j,1,NA,j,3.6848,0,8,8,8,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,NA,1,NA,NA
6108ac1e801e23ad2a25e7f0,S1-R Contingency,Which colour almost always occurred with the word `Ron`?,l,1,NA,l,1.1189,0,9,9,9,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,NA,NA,NA,1,NA
6108ac1e801e23ad2a25e7f0,S2-R Contingency-yn,Do you think `calm` mostly appeared in a particular colour?,j,0,NA,n,3.2585,0,10,10,10,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,0,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S2-R Contingency,Which colour almost always occurred with the word `calm`?,l,0,NA,k,2.6539,0,11,11,11,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,0,NA,NA,NA,NA
6108ac1e801e23ad2a25e7f0,S1-R Transfer Awareness,Which colour do you think `Max` should have appeared in?,d,0,NA,l,3.4345,0,12,12,12,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,NA,NA,NA,NA,0
6108ac1e801e23ad2a25e7f0,S1-R Transfer Awareness,Which colour do you think `Tim` should have appeared in?,l,0,NA,d,2.9509,0,13,13,13,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,NA,NA,NA,NA,0
627e807715abf2361938fd68,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,6.2504,calm,Don't Know,bold,Jack,bold,1,NA,NA,NA,NA,NA
627e807715abf2361938fd68,S-S Cued Recall,What word should have appeared?,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1.7505,neat,bold,Don't Know,Max,neat,1,NA,NA,NA,NA,NA
627e807715abf2361938fd68,S-S Cued Recall,What word should have appeared?,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0.8191,fair,calm,Don't Know,Ron,calm,1,NA,NA,NA,NA,NA
627e807715abf2361938fd68,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1.8022,Don't Know,bold,fair,Tim,fair,1,NA,NA,NA,NA,NA
627e807715abf2361938fd68,S2-R Contingency-yn,Do you think `bold` mostly appeared in a particular colour?,j,1,NA,j,9.8821,0,0,0,0,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,1,NA,NA,NA
627e807715abf2361938fd68,S2-R Contingency,Which colour almost always occurred with the word `bold`?,d,1,NA,d,1.3306,0,1,1,1,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,1,NA,NA,NA,NA
627e807715abf2361938fd68,S2-R Contingency-yn,Do you think `fair` mostly appeared in a particular colour?,j,1,NA,j,3.2518,0,2,2,2,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Tim,fair,NA,NA,1,NA,NA,NA
627e807715abf2361938fd68,S2-R Contingency,Which colour almost always occurred with the word `fair`?,l,1,NA,l,1.3365,0,3,3,3,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,1,NA,NA,NA,NA
627e807715abf2361938fd68,S1-R Contingency-yn,Do you think `Jack` mostly appeared in a particular colour?,j,1,NA,j,2.7375,0,4,4,4,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,NA,1,NA,NA
627e807715abf2361938fd68,S1-R Contingency,Which colour almost always occurred with the word `Jack`?,d,1,NA,d,0.682,0,5,5,5,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,NA,NA,NA,1,NA
627e807715abf2361938fd68,S2-R Contingency-yn,Do you think `neat` mostly appeared in a particular colour?,j,1,NA,j,2.3365,0,6,6,6,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Max,neat,NA,NA,1,NA,NA,NA
627e807715abf2361938fd68,S2-R Contingency,Which colour almost always occurred with the word `neat`?,d,1,NA,d,0.4308,0,7,7,7,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,1,NA,NA,NA,NA
627e807715abf2361938fd68,S1-R Contingency-yn,Do you think `Ron` mostly appeared in a particular colour?,j,0,NA,k,3.4035,0,8,8,8,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,NA,0,NA,NA
627e807715abf2361938fd68,S1-R Contingency,Which colour almost always occurred with the word `Ron`?,l,1,NA,l,5.7762,0,9,9,9,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,NA,NA,NA,1,NA
627e807715abf2361938fd68,S2-R Contingency-yn,Do you think `calm` mostly appeared in a particular colour?,j,0,NA,k,3.7,0,10,10,10,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,0,NA,NA,NA
627e807715abf2361938fd68,S2-R Contingency,Which colour almost always occurred with the word `calm`?,l,1,NA,l,2.615,0,11,11,11,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,1,NA,NA,NA,NA
627e807715abf2361938fd68,S1-R Transfer Awareness,Which colour do you think `Max` should have appeared in?,d,1,NA,d,2.6862,0,12,12,12,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,NA,NA,NA,NA,1
627e807715abf2361938fd68,S1-R Transfer Awareness,Which colour do you think `Tim` should have appeared in?,l,1,NA,l,3.4349,0,13,13,13,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,NA,NA,NA,NA,1
6147724c13bb365774e24af1,S-S Cued Recall,What word should have appeared?,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3.323,neat,Don't Know,fair,Max,neat,1,NA,NA,NA,NA,NA
6147724c13bb365774e24af1,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1.7919,fair,Don't Know,calm,Ron,calm,1,NA,NA,NA,NA,NA
6147724c13bb365774e24af1,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1.3953,Don't Know,neat,fair,Tim,fair,1,NA,NA,NA,NA,NA
6147724c13bb365774e24af1,S-S Cued Recall,What word should have appeared?,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1.2245,Don't Know,neat,bold,Jack,bold,1,NA,NA,NA,NA,NA
6147724c13bb365774e24af1,S2-R Contingency-yn,Do you think `bold` mostly appeared in a particular colour?,j,1,NA,j,8.8405,0,0,0,0,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,1,NA,NA,NA
6147724c13bb365774e24af1,S2-R Contingency,Which colour almost always occurred with the word `bold`?,d,0,NA,l,2.5998,0,1,1,1,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,0,NA,NA,NA,NA
6147724c13bb365774e24af1,S2-R Contingency-yn,Do you think `fair` mostly appeared in a particular colour?,j,0,NA,k,2.5345,0,2,2,2,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Tim,fair,NA,NA,0,NA,NA,NA
6147724c13bb365774e24af1,S2-R Contingency,Which colour almost always occurred with the word `fair`?,l,0,NA,k,2.0697,0,3,3,3,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,0,NA,NA,NA,NA
6147724c13bb365774e24af1,S1-R Contingency-yn,Do you think `Jack` mostly appeared in a particular colour?,j,0,NA,k,1.5823,0,4,4,4,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Jack,bold,NA,NA,NA,0,NA,NA
6147724c13bb365774e24af1,S1-R Contingency,Which colour almost always occurred with the word `Jack`?,d,0,NA,k,3.271,0,5,5,5,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Jack,bold,NA,NA,NA,NA,0,NA
6147724c13bb365774e24af1,S2-R Contingency-yn,Do you think `neat` mostly appeared in a particular colour?,j,0,NA,k,2.1501,0,6,6,6,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Max,neat,NA,NA,0,NA,NA,NA
6147724c13bb365774e24af1,S2-R Contingency,Which colour almost always occurred with the word `neat`?,d,0,NA,k,2.7657,0,7,7,7,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,0,NA,NA,NA,NA
6147724c13bb365774e24af1,S1-R Contingency-yn,Do you think `Ron` mostly appeared in a particular colour?,j,0,NA,k,1.0191,0,8,8,8,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,NA,0,NA,NA
6147724c13bb365774e24af1,S1-R Contingency,Which colour almost always occurred with the word `Ron`?,l,0,NA,k,0.6846,0,9,9,9,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,NA,NA,NA,0,NA
6147724c13bb365774e24af1,S2-R Contingency-yn,Do you think `calm` mostly appeared in a particular colour?,j,0,NA,k,0.7,0,10,10,10,1,NA,NA,Press `j` if yes,Press `n` if no,Press `k` if you do not know,Ron,calm,NA,NA,0,NA,NA,NA
6147724c13bb365774e24af1,S2-R Contingency,Which colour almost always occurred with the word `calm`?,l,0,NA,k,0.6239,0,11,11,11,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Ron,calm,NA,0,NA,NA,NA,NA
6147724c13bb365774e24af1,S1-R Transfer Awareness,Which colour do you think `Max` should have appeared in?,d,0,NA,k,0.8024,0,12,12,12,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Max,neat,NA,NA,NA,NA,NA,0
6147724c13bb365774e24af1,S1-R Transfer Awareness,Which colour do you think `Tim` should have appeared in?,l,0,NA,k,0.7653,0,13,13,13,1,NA,NA,"""D"" for blue","""L"" for yellow",Press 'k' if you do not know,Tim,fair,NA,NA,NA,NA,NA,0
5f6e36c7f042f033d0f97bc1,S-S Cued Recall,What word should have appeared?,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3.3504,Don't Know,calm,neat,Ron,calm,1,NA,NA,NA,NA,NA
